filename,line,function,ncalls,tottime,tottime_percall,cumtime,cumtime_percall
~,~,{built-in method builtins.exec},100/2,0.000,0.000,2.000,2.000
test.py,1,<module>,1,0.000,0.000,2.000,2.000
~,~,{built-in method time.sleep},1,2.000,2.000,2.000,2.000
<frozen importlib._bootstrap>,1349,_find_and_load,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,1304,_find_and_load_unlocked,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,911,_load_unlocked,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,416,__enter__,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,806,module_from_spec,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,304,acquire,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,1240,_find_spec,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,480,_call_with_frames_removed,2,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,989,create_module,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,162,__enter__,1,0.000,0.000,0.000,0.000
~,~,{built-in method _imp.create_builtin},1,0.000,0.000,0.000,0.000
~,~,{method 'disable' of '_lsprof.Profiler' objects},1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,982,find_spec,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,124,setdefault,1,0.000,0.000,0.000,0.000
~,~,{built-in method builtins.print},3,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,420,__exit__,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,733,_init_module_attrs,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,372,release,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,662,spec_from_loader,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,426,_get_module_lock,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,74,__new__,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,997,exec_module,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,445,cb,1,0.000,0.000,0.000,0.000
~,~,{built-in method math.sin},2,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,1226,__exit__,2,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,1222,__enter__,2,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,501,_requires_builtin_wrapper,1,0.000,0.000,0.000,0.000
~,~,{built-in method _imp.acquire_lock},4,0.000,0.000,0.000,0.000
~,~,{built-in method _imp.release_lock},4,0.000,0.000,0.000,0.000
~,~,{built-in method _imp.exec_builtin},1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,173,__exit__,1,0.000,0.000,0.000,0.000
~,~,{built-in method builtins.getattr},4,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,232,__init__,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,82,remove,1,0.000,0.000,0.000,0.000
~,~,{built-in method builtins.len},3,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,645,parent,1,0.000,0.000,0.000,0.000
~,~,{built-in method builtins.hasattr},3,0.000,0.000,0.000,0.000
~,~,{method 'get' of 'dict' objects},3,0.000,0.000,0.000,0.000
~,~,{method 'append' of 'list' objects},2,0.000,0.000,0.000,0.000
~,~,{method 'rpartition' of 'str' objects},2,0.000,0.000,0.000,0.000
~,~,{method '__exit__' of '_thread.RLock' objects},2,0.000,0.000,0.000,0.000
~,~,{built-in method _thread.get_ident},2,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,79,__init__,1,0.000,0.000,0.000,0.000
~,~,{built-in method _imp.is_builtin},1,0.000,0.000,0.000,0.000
~,~,{method 'remove' of 'list' objects},1,0.000,0.000,0.000,0.000
~,~,{built-in method _weakref._remove_dead_weakref},1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,491,_verbose_message,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,599,__init__,1,0.000,0.000,0.000,0.000
~,~,{built-in method __new__ of type object at 0x18c81d0},1,0.000,0.000,0.000,0.000
_virtualenv.py,50,find_spec,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,653,has_location,1,0.000,0.000,0.000,0.000
~,~,{built-in method _thread.allocate_lock},1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,158,__init__,1,0.000,0.000,0.000,0.000
~,~,{method 'pop' of 'list' objects},1,0.000,0.000,0.000,0.000
~,~,{method 'pop' of 'dict' objects},1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,1014,is_package,1,0.000,0.000,0.000,0.000
<frozen importlib._bootstrap>,412,__init__,1,0.000,0.000,0.000,0.000
